	at org.eclipse.jetty.xml.XmlConfiguration.main(XmlConfiguration.java:1182)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at org.eclipse.jetty.start.Main.invokeMain(Main.java:473)
	at org.eclipse.jetty.start.Main.start(Main.java:615)
	at org.eclipse.jetty.start.Main.main(Main.java:96)
INFO  - 2013-12-17 04:57:23.942; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2013-12-17 04:57:23.962; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/joao/Downloads/solr-4.6.0/example/contexts at interval 0
INFO  - 2013-12-17 04:57:23.967; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/joao/Downloads/solr-4.6.0/example/contexts/solr-jetty-context.xml
INFO  - 2013-12-17 04:57:24.842; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-12-17 04:57:24.869; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-12-17 04:57:24.880; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
